Total greenhouse gas emissions (kt of CO2 equivalent),Turks and Caicos Islands,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),Tuvalu,16.955085,21.742689
Total greenhouse gas emissions (kt of CO2 equivalent),Uganda,13173.18294,39280.05175
Total greenhouse gas emissions (kt of CO2 equivalent),Ukraine,825869.7083,227341.5857
Total greenhouse gas emissions (kt of CO2 equivalent),United Arab Emirates,78601.83891,249927.7494
Total greenhouse gas emissions (kt of CO2 equivalent),United Kingdom,749506.1766,398323.6546
Total greenhouse gas emissions (kt of CO2 equivalent),United States,5855541.47,5505180.89
Total greenhouse gas emissions (kt of CO2 equivalent),Uruguay,28636.01992,35994.19321
Total greenhouse gas emissions (kt of CO2 equivalent),Uzbekistan,168028.2002,187520.3945
Total greenhouse gas emissions (kt of CO2 equivalent),Vanuatu,481.674125,588.659649
Total greenhouse gas emissions (kt of CO2 equivalent),"Venezuela, RB",291512.1715,194259.7019
Total greenhouse gas emissions (kt of CO2 equivalent),Viet Nam,73263.51694,470578.1002
Total greenhouse gas emissions (kt of CO2 equivalent),Virgin Islands (U.S.),..,..
Total greenhouse gas emissions (kt of CO2 equivalent),West Bank and Gaza,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),"Yemen, Rep.",16874.58611,24391.15073
Total greenhouse gas emissions (kt of CO2 equivalent),Zambia,25447.64215,36107.82044
Total greenhouse gas emissions (kt of CO2 equivalent),Zimbabwe,31983.42118,25988.12599
GDP per capita (current US$),Afghanistan,..,512.0550982
GDP per capita (current US$),Albania,617.2304355,5343.037704
GDP per capita (current US$),Algeria,2431.55136,3354.153164
GDP per capita (current US$),American Samoa,..,15609.77722
GDP per capita (current US$),Andorra,19208.67838,37207.23887
GDP per capita (current US$),Angola,949.9213555,1450.905112
GDP per capita (current US$),Antigua and Barbuda,7255.406303,15224.85859
GDP per capita (current US$),Argentina,4330.968191,8500.837939
GDP per capita (current US$),Armenia,634.5673276,4505.867742
GDP per capita (current US$),Aruba,11638.73371,24008.12782
GDP per capita (current US$),Australia,18248.94071,51868.24756
GDP per capita (current US$),Austria,21680.98962,48789.49785
GDP per capita (current US$),Azerbaijan,1238.271893,4229.910649
GDP per capita (current US$),"Bahamas, The",11696.51137,23998.26802
GDP per capita (current US$),Bahrain,8174.797232,23433.18724
GDP per capita (current US$),Bangladesh,294.9046524,2233.305901
GDP per capita (current US$),Barbados,7772.808757,16882.50152
GDP per capita (current US$),Belarus,..,6542.86454
GDP per capita (current US$),Belgium,20600.37528,45609.00349
GDP per capita (current US$),Belize,2988.60482,5185.15807
GDP per capita (current US$),Benin,381.8050563,1240.733155
GDP per capita (current US$),Bermuda,26841.51974,107791.8864
GDP per capita (current US$),Bhutan,515.2997216,3181.339747
GDP per capita (current US$),Bolivia,685.9427177,3068.812555
GDP per capita (current US$),Bosnia and Herzegovina,..,6095.104237
GDP per capita (current US$),Botswana,2825.724781,5875.070606
GDP per capita (current US$),Brazil,3065.242357,6923.699912
GDP per capita (current US$),British Virgin Islands,..,..
GDP per capita (current US$),Brunei Darussalam,13440.66929,27179.35289
GDP per capita (current US$),Bulgaria,2366.529821,10148.3424
GDP per capita (current US$),Burkina Faso,339.6318225,823.5524109
GDP per capita (current US$),Burundi,206.4449283,216.8274175
GDP per capita (current US$),Cabo Verde,841.8050176,3126.399859
GDP per capita (current US$),Cambodia,..,1577.91174
GDP per capita (current US$),Cameroon,1077.333545,1539.130545
GDP per capita (current US$),Canada,21525.86114,43349.67786
GDP per capita (current US$),Cayman Islands,..,83897.50544
GDP per capita (current US$),Central African Republic,512.850879,435.4692478
GDP per capita (current US$),Chad,298.3670792,643.7722157
GDP per capita (current US$),Channel Islands,..,57339.52687
GDP per capita (current US$),Chile,2483.560862,13173.78479
GDP per capita (current US$),China,347.5783659,10408.71955
GDP per capita (current US$),Colombia,1467.547436,5304.289129
GDP per capita (current US$),Comoros,996.5280531,1519.58678
GDP per capita (current US$),"Congo, Dem. Rep.",259.237092,524.6666862
GDP per capita (current US$),"Congo, Rep.",1173.264436,2011.269479
GDP per capita (current US$),Costa Rica,1808.495959,12179.25667
GDP per capita (current US$),Cote d'Ivoire,906.4115132,2349.069882
GDP per capita (current US$),Croatia,..,14269.90885
GDP per capita (current US$),Cuba,2695.614865,9499.572504
GDP per capita (current US$),Curacao,..,16356.09333
